Date,Close
2021-09-20,56.97999954223633
2021-09-21,58.04999923706055
2021-09-22,59.25
2021-09-23,60.5
2021-09-24,61.08000183105469
2021-09-27,58.709999084472656
2021-09-28,51.68000030517578
2021-09-29,50.0
2021-09-30,46.650001525878906
2021-10-01,51.15999984741211
2021-10-04,44.150001525878906
2021-10-05,43.150001525878906
2021-10-06,41.84000015258789
2021-10-07,46.470001220703125
2021-10-08,50.0099983215332
2021-10-11,44.880001068115234
2021-10-13,48.400001525878906
2021-10-14,50.900001525878906
2021-10-15,50.5
2021-10-18,48.29999923706055
2021-10-19,45.02000045776367
2021-10-20,48.5
2021-10-21,43.0
2021-10-22,40.13999938964844
2021-10-25,42.220001220703125
2021-10-26,39.81999969482422
2021-10-27,40.099998474121094
2021-10-28,39.5099983215332
2021-10-29,36.0
2021-11-01,42.310001373291016
2021-11-03,44.58000183105469
2021-11-04,43.400001525878906
2021-11-05,46.16999816894531
